"id","u_g","g_r","r_i","i_z","target"
1,2.538229,1.350439,0.697412999999999,0.421685,2
2,0.976144999999999,0.330214000000002,0.104654,0.0152049999999981,2
3,1.177351,-0.173849000000001,-0.130685999999999,-0.094068,2
6,1.653826,0.620245000000001,0.204937000000001,0.0728589999999976,2
7,2.468853,1.108624,0.406947000000001,0.236414,2
10,0,0,0,0,1
11,1.313986,0.534959999999998,0.136065000000002,0.0798379999999987,2
12,2.537727,1.460503,0.927764000000002,0.425274,2
13,-0.00999999999999801,-0.398,-0.304000000000002,-0.270999999999997,3
14,1.280399,0.503050000000002,0.19511,0.0621340000000004,2
16,0.467000000000002,-0.00300000000000011,-0.00400000000000134,-0.0219999999999985,3
17,1.342554,0.447795999999999,0.128792000000001,0.0856630000000003,2
20,1.938484,0.844271000000003,0.367877999999997,0.226587000000002,2
22,0.346,-0.266999999999999,-0.253,-0.242000000000001,3
23,1.128931,0.354181,0.178319999999999,0.0489709999999981,2
24,1.6982,0.683176999999999,0.283742,0.114609,2
26,1.171155,0.422448000000003,0.186217999999997,0.0885680000000022,2
27,2.161545,0.868473000000002,0.334206,0.145028,2
28,1.872605,0.775861000000003,0.308748999999999,0.179945,2
29,0.088000000000001,-0.368000000000002,-0.256999999999998,-0.302,3
30,1.113264,0.386993,0.138678000000002,0.128298999999998,2
32,1.922562,0.799234000000002,0.316739999999999,0.177239,2
33,0.95541,0.262165999999999,0.109429,0.00412599999999941,2
34,1.31641,0.543459000000002,0.173991999999998,0.0951519999999988,2
37,0.138999999999999,-0.065999999999999,0.222999999999999,0.206,1
40,0.443999999999999,-0.0329999999999977,-0.0869999999999997,-0.150000000000002,3
42,0.0739999999999981,-0.314999999999998,-0.286000000000001,-0.326,3
44,0.242000000000001,-0.271000000000001,-0.241999999999997,-0.298000000000002,3
45,2.086054,0.823649,0.326135000000001,0.156123000000001,2
46,0.929258000000001,0.248781999999999,0.118352000000002,-0.039905000000001,2
47,2.455732,0.961436000000001,0.322780000000002,0.154698,2
48,0.226000000000003,-0.131,0.189999999999998,0.0390000000000015,1
49,1.162398,0.435461,0.111362,0.0393730000000012,2
50,1.180027,0.481808000000001,0.185189000000001,0.0542069999999999,2
51,-0.382999999999999,-0.449000000000002,-0.314,-0.321999999999999,3
55,0.0930000000000035,0.465999999999998,0.0440000000000005,-0.0970000000000013,1
56,1.166014,0.421813,0.110852,0.0852700000000013,2
59,2.712365,1.309131,0.568806,0.284134999999999,2
61,1.395208,0.486474999999999,0.160202000000002,0.047232000000001,2
62,0.416999999999998,-0.046999999999997,-0.0600000000000023,-0.192999999999998,3
63,1.607,3.364,1.181,0.616,3
64,2.441967,1.022044,0.340989,0.203682000000001,2
67,0.323,-0.178000000000001,-0.119,-0.402999999999999,3
69,0.442999999999998,0.0860000000000021,-0.0330000000000013,0.102,3
71,3.602,0.895,0.108000000000001,0.416,1
73,2.191229,0.970904000000001,0.392370999999999,0.140893,2
74,0.0390000000000015,0.149000000000001,0.346,0.0899999999999999,1
75,1.376535,0.589205999999999,0.202764999999999,0.100477000000001,2
76,1.246929,0.415635999999999,0.122622,0.0934659999999994,2
79,1.603018,0.617386,0.227231999999997,0.117376,2
80,1.598768,0.472082,0.206436,0.054252,2
81,1.927157,0.815719,0.309559999999999,0.149790000000001,2
82,1.272065,0.428949000000001,0.0954739999999994,0.0743369999999999,2
83,0.427999999999997,-0.0440000000000005,-0.122999999999998,-0.212,3
84,1.662668,0.675576,0.297363000000001,0.173245999999999,2
85,0.118000000000002,0.283999999999999,-0.102,0.00300000000000011,1
86,-0.0509999999999984,0.409999999999997,0.0390000000000015,-0.175000000000001,1
89,2.435943,1.282137,0.554769000000002,0.240623999999999,2
90,0.341000000000001,-0.00100000000000122,0.0500000000000007,0.115000000000002,1
91,0.574999999999999,0.254999999999999,0.952999999999999,0.791,3
92,2.141813,0.82254,0.261291999999999,0.144872999999999,2
94,1.722366,0.614030999999997,0.217877000000001,0.117563000000001,2
95,0.465999999999998,0.451,0.0530000000000008,0.0279999999999987,1
97,-0.446999999999999,-0.384999999999998,0.0380000000000003,0.218999999999998,3
98,1.372469,0.407540999999998,0.109932000000001,0.0569440000000014,2
99,1.354267,0.480157999999999,0.168665999999998,0.0423360000000024,2
100,0.367999999999999,-0.218,-0.228999999999999,-0.347000000000001,3
102,1.746973,0.625252,0.23461,0.110585999999998,2
103,0.878270999999998,0.348326,0.156672,0.044274999999999,2
104,1.606421,0.598550000000001,0.241067999999999,0.0746040000000008,2
106,1.362303,0.500565999999999,0.201134,0.0501330000000024,2
108,0.372,-0.231999999999999,-0.254999999999999,-0.324999999999999,3
109,0.291,0.491999999999997,0.0730000000000004,0.00300000000000011,1
110,0.280999999999999,0.0730000000000004,-0.0700000000000003,0.0300000000000011,1
111,1.082201,0.404588,0.141883999999997,0.0472169999999998,2
113,2.322304,0.879626999999999,0.314070000000001,0.180958,2
115,0.146999999999998,-0.306999999999999,-0.268000000000001,-0.114000000000001,3
116,1.227099,0.448051000000003,0.190946999999998,0.0148660000000014,2
117,0.121000000000002,-0.173000000000002,-0.367000000000001,-0.763999999999999,3
118,1.611019,0.613489000000001,0.230799000000001,0.126823,2
119,0.273,0.0420000000000016,0.286000000000001,0.004999999999999,1
120,0.137999999999998,0.0250000000000021,0.222999999999999,-0.0109999999999992,1
122,0.251999999999999,0.192,0.154,0.236999999999998,1
123,0.0869999999999997,0.104999999999997,0.283000000000001,-0.169999999999998,1
124,0.284000000000002,0.178999999999998,0.16,0.0899999999999999,1
125,1.341846,0.470569999999999,0.164578000000001,0.0458689999999997,2
126,1.499205,0.617027000000002,0.263736,0.132327,2
127,-0.0069999999999979,-0.463000000000001,-0.268000000000001,0.0629999999999988,3
128,1.472828,0.581549999999998,0.21346,0.0878550000000011,2
129,2.507269,1.212078,0.452449,0.211031,2
130,2.604679,1.209219,0.506064000000002,0.276548,2
131,0.409000000000002,0.417999999999999,0.379999999999999,0.297000000000001,1
132,0.325000000000003,-0.022000000000002,0.148,0.400000000000002,1
133,1.311386,0.508111999999997,0.156298,0.081194,2
135,1.861927,0.658595999999999,0.281369,0.151815000000001,2
136,0.375,-0.0259999999999998,-0.0459999999999994,-0.175000000000001,3
137,0.934035999999999,0.218768999999998,0.0749720000000025,0.0433009999999996,2
138,2.503008,1.105227,0.471835,0.231351,2
139,0.175999999999998,0.140999999999998,0.0250000000000021,0.152999999999999,1
140,1.229282,0.449,0.0815560000000009,0.0610970000000002,2
141,0.361000000000001,0.0429999999999993,0.0920000000000023,0.0609999999999999,1
142,0.317999999999998,-0.192999999999998,-0.253,-0.278000000000002,3
143,1.071729,0.330296000000001,0.0936559999999993,0.0386620000000022,2
145,1.16913,0.367939,0.146873000000001,0.0186689999999992,2
146,1.117093,0.387237000000001,0.170299,0.0169709999999998,2
147,0.526,0.118000000000002,0.0769999999999982,-0.143000000000001,3
148,0.243000000000002,-0.188000000000002,-0.239999999999998,-0.272000000000002,3
149,1.950896,0.793342000000003,0.270620999999998,0.15217,2
